 WITH ATOMIC EXCHANGE
 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     77.2    3,353,498,555      5,425  618,156.4  587,332.0   353,858  2,787,890    183,947.3  propagateFrontier_kernel2(unsigned int *, bool *, float *, int, float *, int *, curandStateXORWOW *…
      7.1      306,502,545      9,431   32,499.5   32,416.0     1,664     36,416        847.0  updateVertices_kernel(float *, int *, int *, int *, int *, int, float *, float *)                   
      5.7      247,325,303      9,431   26,224.7   31,872.0     5,568     35,616     10,414.5  updateFrontier_kernel(bool *, bool *, unsigned int *, unsigned int, float *, int, float *, float *,…
      5.4      233,242,612      4,006   58,223.3   59,488.0    47,200     80,288      6,594.8  propagateFrontier_kernel1(bool *, unsigned int *, float *, float *, unsigned int, curandStateXORWOW…
      2.3       99,774,822      1,000   99,774.8   94,192.5    92,801    118,976      7,516.9  initializeRandomSeeds_kernel(curandStateXORWOW *, int, int)                                         
      0.8       34,180,991     18,862    1,812.2    1,792.0     1,664      6,912        148.3  void cub::CUB_200400_520_NS::DeviceScanKernel<cub::CUB_200400_520_NS::DeviceScanPolicy<int, thrust:…
      0.5       22,623,864     28,293      799.6      800.0       767      2,048         32.0  void cub::CUB_200400_520_NS::DeviceScanInitKernel<cub::CUB_200400_520_NS::ScanTileState<int, (bool)…
      0.5       19,980,905     18,862    1,059.3    1,055.0       959      2,048        103.2  findInd(unsigned int, bool *, unsigned int *, unsigned int *)                                       
      0.3       13,065,277      9,431    1,385.4    1,376.0     1,311      8,640        114.5  void cub::CUB_200400_520_NS::DeviceScanKernel<cub::CUB_200400_520_NS::DeviceScanPolicy<int, thrust:…
      0.1        4,803,094      5,000      960.6      832.0       767      1,504        196.2  void cub::CUB_200400_520_NS::detail::for_each::static_kernel<cub::CUB_200400_520_NS::detail::for_ea…
      0.1        4,066,312      5,001      813.1      800.0       767      1,151         29.8  void cub::CUB_200400_520_NS::detail::for_each::static_kernel<cub::CUB_200400_520_NS::detail::for_ea…
      0.1        2,414,583      3,000      804.9      800.0       767      1,152         32.4  void cub::CUB_200400_520_NS::detail::for_each::static_kernel<cub::CUB_200400_520_NS::detail::for_ea…
      0.0        1,646,786      2,000      823.4      832.0       799      1,088         25.9  void cub::CUB_200400_520_NS::detail::for_each::static_kernel<cub::CUB_200400_520_NS::detail::for_ea…
      0.0            6,400          7      914.3      896.0       832      1,120         95.7  void cub::CUB_200400_520_NS::detail::for_each::static_kernel<cub::CUB_200400_520_NS::detail::for_ea…
      0.0            5,919          5    1,183.8      928.0       832      1,696        413.1  void cub::CUB_200400_520_NS::detail::for_each::static_kernel<cub::CUB_200400_520_NS::detail::for_ea…
      0.0            1,824          2      912.0      912.0       896        928         22.6  void cub::CUB_200400_520_NS::detail::for_each::static_kernel<cub::CUB_200400_520_NS::detail::for_ea…
